,NITROGEN SHARE IN NPK (Percent),PHOSPHATE SHARE IN NPK (Percent),POTASH SHARE IN NPK (Percent),LENGTH OF GROWING PERIOD DAYS (Number),TOTAL AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),ANNUAL RAINFALL (Millimeters),crop_name,crop_yield
2533,63.28,35.28,1.44,210.0,934.25,983.83,179.42,1182.5,WHEAT YIELD (Kg per ha),3478.79
2534,66.81,30.9,2.29,210.0,934.25,997.28,182.15,1230.0,WHEAT YIELD (Kg per ha),3406.53
2535,64.22,34.36,1.42,210.0,934.25,1070.41,194.5,1230.0,WHEAT YIELD (Kg per ha),3351.11
2536,53.8,44.47,1.73,224.0,848.75,607.45,139.75,1224.325,WHEAT YIELD (Kg per ha),1527.15
2537,56.84,41.41,1.76,224.0,848.75,633.97,145.61,1224.325,WHEAT YIELD (Kg per ha),2897.07
2538,58.99,40.18,0.83,224.0,848.75,667.4,153.34,1053.1,WHEAT YIELD (Kg per ha),3390.59
2539,61.66,37.54,0.8,224.0,848.75,719.47,165.74,1601.4,WHEAT YIELD (Kg per ha),2137.93
2540,61.37,37.83,0.81,224.0,848.75,680.5,156.5,1036.8,WHEAT YIELD (Kg per ha),3396.3
2541,62.7,36.2,1.11,224.0,848.75,709.93,164.93,1206.0,WHEAT YIELD (Kg per ha),3155.74
2542,60.76,37.9,1.35,224.0,848.75,695.79,160.61,1224.325,WHEAT YIELD (Kg per ha),3266.95
2543,62.26,36.41,1.34,224.0,848.75,722.95,166.92,1224.325,WHEAT YIELD (Kg per ha),3277.99
2544,49.79,47.01,3.2,220.0,730.2,791.84,148.87,1151.475,WHEAT YIELD (Kg per ha),1651.04
2545,48.88,48.05,3.07,220.0,730.2,788.42,148.74,1151.475,WHEAT YIELD (Kg per ha),1950.05
2546,47.23,52.2,0.57,220.0,730.2,840.2,158.26,955.2,WHEAT YIELD (Kg per ha),1754.1
2547,54.91,44.07,1.03,220.0,730.2,919.28,172.28,1614.7,WHEAT YIELD (Kg per ha),2084.85
2548,56.35,42.43,1.22,220.0,730.2,897.54,168.5,1020.6,WHEAT YIELD (Kg per ha),2728.87
2549,57.3,41.98,0.72,220.0,730.2,969.33,181.26,1015.4,WHEAT YIELD (Kg per ha),2385.62
2550,59.24,39.52,1.24,220.0,730.2,971.94,182.52,1151.475,WHEAT YIELD (Kg per ha),2960.85
2551,52.24,45.99,1.77,220.0,730.2,1004.51,188.54,1151.475,WHEAT YIELD (Kg per ha),3900.0
2552,67.0,28.0,5.0,229.0,1007.8,630.59,148.01,1387.725,WHEAT YIELD (Kg per ha),1182.6
2553,65.72,30.55,3.72,229.0,1007.8,567.85,133.29,1387.725,WHEAT YIELD (Kg per ha),2914.94
2554,65.58,31.55,2.87,229.0,1007.8,601.87,136.91,1565.4,WHEAT YIELD (Kg per ha),2239.16
2555,69.08,28.56,2.35,229.0,1007.8,604.46,137.2,1684.0,WHEAT YIELD (Kg per ha),1889.25
2556,65.94,30.3,3.77,229.0,1007.8,607.62,140.99,1061.5,WHEAT YIELD (Kg per ha),2466.29
2557,70.27,25.39,4.34,229.0,1007.8,602.11,138.98,1240.0,WHEAT YIELD (Kg per ha),2474.68
2558,72.06,24.27,3.66,229.0,1007.8,599.57,143.79,1387.725,WHEAT YIELD (Kg per ha),2648.44
2559,72.8,23.74,3.46,229.0,1007.8,632.41,147.77,1387.725,WHEAT YIELD (Kg per ha),2661.97
2560,47.79,49.36,2.85,201.0,616.3,735.1,170.02,1286.9250000000002,WHEAT YIELD (Kg per ha),1492.03
2561,50.41,47.32,2.27,201.0,616.3,745.65,171.47,1286.9250000000002,WHEAT YIELD (Kg per ha),2215.07
2562,53.21,44.71,2.08,201.0,616.3,772.49,176.28,988.9,WHEAT YIELD (Kg per ha),2801.71
2563,58.53,40.54,0.93,201.0,616.3,783.95,178.54,1576.0,WHEAT YIELD (Kg per ha),2321.79
2564,55.52,42.75,1.73,201.0,616.3,789.99,179.71,1017.5,WHEAT YIELD (Kg per ha),3161.49
